,BERT_Topic_0,BERT_Topic_1,BERT_Topic_2,BERT_Topic_3,BERT_Topic_4,BERT_Topic_5,BERT_Topic_6,BERT_Topic_7,BERT_Topic_8,BERT_Topic_9,BERT_Topic_10,BERT_Topic_11,BERT_Topic_12,BERT_Topic_13,BERT_Topic_14,BERT_Topic_15,BERT_Topic_16
능가,0.47603202,0.45895123,0.42923623,0.38924184,0.38836226,0.41482234,0.46861798,0.41040063,0.4312806,0.31678504,0.42283612,0.29457277,0.3408221,0.31384993,0.2052985,0.38074762,0.33054748
능동적,0.42907846,0.41799426,0.35686052,0.40361944,0.35716954,0.39197406,0.4045754,0.37437797,0.3965488,0.33868176,0.35731804,0.28591746,0.35731512,0.27650243,0.2669797,0.35901868,0.27493498
능력,0.45780668,0.43985772,0.40445098,0.3796488,0.41876218,0.40964085,0.43975875,0.3995836,0.42308676,0.30312115,0.41503853,0.29913393,0.33119327,0.29680684,0.20606697,0.38582128,0.3198243
니즈,0.35145944,0.3363126,0.29067034,0.40363333,0.30533996,0.2411139,0.24332811,0.3691668,0.34552896,0.29217377,0.2579453,0.2381836,0.31723392,0.21948531,0.25769526,0.32401538,0.21455833
다각도,0.42531443,0.38448036,0.33743146,0.56924814,0.37364545,0.2902438,0.2566861,0.44629487,0.4401329,0.39439902,0.27666223,0.31569523,0.4152192,0.3161,0.41254428,0.41499764,0.25246713
다국어,0.38235235,0.3637836,0.39096057,0.41816568,0.34789473,0.2725697,0.26525754,0.46081883,0.36982825,0.3520272,0.32044894,0.2415317,0.50820166,0.3119495,0.47465494,0.31056827,0.41194737
다문화,0.46098316,0.4510096,0.40941304,0.4938376,0.42976218,0.300947,0.29372877,0.4367729,0.44267595,0.48307294,0.36232275,0.35246432,0.4174744,0.33770156,0.3824723,0.42306387,0.2747671
다수,0.4029037,0.39933014,0.33682764,0.44126064,0.35440028,0.2928688,0.31573242,0.39652097,0.39602774,0.33172327,0.29698983,0.26734462,0.35890675,0.27710253,0.30114704,0.37771583,0.23521009
다양성,0.3388438,0.33748403,0.30851638,0.29285645,0.33015352,0.27865633,0.34019917,0.3029915,0.32539505,0.3048351,0.33881018,0.23601018,0.30429658,0.23478064,0.24225283,0.3093813,0.27076828
다양화,0.3485168,0.35044345,0.31738782,0.3001244,0.336986,0.28759953,0.34139997,0.31286848,0.3347723,0.31395578,0.3502335,0.2528488,0.31483957,0.24714974,0.25509512,0.31834307,0.27472457
다운로드,0.34019482,0.34319502,0.25224242,0.31925887,0.32040918,0.3677147,0.26192403,0.4004947,0.28109825,0.1537587,0.36397976,0.21405843,0.41435355,0.23182303,0.37737635,0.3336133,0.36614102
다음달,0.17851476,0.23451936,0.15435821,0.17437214,0.16068064,0.07247402,0.084992215,0.11776041,0.20681474,0.24675082,0.13056356,0.24905452,0.08276467,0.11711055,0.05583471,0.20374405,0.054936856
다짐,0.3853269,0.38575336,0.31396395,0.44028974,0.3198747,0.27608514,0.26452756,0.3901764,0.39272168,0.3163076,0.26684523,0.2849397,0.32947004,0.258085,0.2771612,0.3432377,0.19645369
다차원,0.47373667,0.47158474,0.37889463,0.5216101,0.42577082,0.35202995,0.3317834,0.4656408,0.4780384,0.4287217,0.3613945,0.36289597,0.43856525,0.3419655,0.35295695,0.44705242,0.28210002
다큐,0.4412597,0.4231702,0.3603626,0.50969666,0.3876634,0.31661516,0.30063945,0.45543304,0.4367549,0.39382094,0.32040554,0.33925784,0.4034145,0.32019836,0.36526173,0.41274714,0.26547012
